accuracy,loss,val_accuracy,val_loss
0.5886243581771851,0.8569552302360535,0.6604938507080078,0.8551079034805298
0.7301587462425232,0.636206328868866,0.7037037014961243,0.6221155524253845
0.7870370149612427,0.5027716755867004,0.790123462677002,0.44721952080726624
0.8121693134307861,0.43539857864379883,0.7716049551963806,0.778568685054779
0.8267195820808411,0.4389308989048004,0.8580247163772583,0.398359477519989
0.8571428656578064,0.3472414016723633,0.845678985118866,0.2911975383758545
0.8796296119689941,0.3251042366027832,0.8333333134651184,0.30118077993392944
0.8928571343421936,0.3009321391582489,0.8765432238578796,0.260144978761673
0.89682537317276,0.2605191469192505,0.8703703880310059,0.24549362063407898
0.8955026268959045,0.263511061668396,0.8641975522041321,0.2808057367801666
0.908730149269104,0.243427112698555,0.8209876418113708,0.47679951786994934
0.9312169551849365,0.19141004979610443,0.8765432238578796,0.30375438928604126
0.9100528955459595,0.21305082738399506,0.895061731338501,0.26881155371665955
0.9193121790885925,0.23234465718269348,0.9197530746459961,0.2635301351547241
0.9272486567497253,0.19429990649223328,0.8888888955116272,0.2579856812953949
0.9431216716766357,0.17395633459091187,0.9012345671653748,0.275654137134552
