filename,fruit,quality,quality_original,split,source_path,split_path
apple_bad_090.png,apple,malo,bad,train,data\processed\balanced_raw\Bad Quality_Fruits\Apple_Bad\apple_bad_090.png,data\splits\train\malo\apple_bad_090.png
apple_bad_056.png,apple,malo,bad,train,data\processed\balanced_raw\Bad Quality_Fruits\Apple_Bad\apple_bad_056.png,data\splits\train\malo\apple_bad_056.png
apple_bad_124.png,apple,malo,bad,train,data\processed\balanced_raw\Bad Quality_Fruits\Apple_Bad\apple_bad_124.png,data\splits\train\malo\apple_bad_124.png
apple_bad_027.jpg,apple,malo,bad,train,data\processed\balanced_raw\Bad Quality_Fruits\Apple_Bad\apple_bad_027.jpg,data\splits\train\malo\apple_bad_027.jpg
apple_bad_043.png,apple,malo,bad,train,data\processed\balanced_raw\Bad Quality_Fruits\Apple_Bad\apple_bad_043.png,data\splits\train\malo\apple_bad_043.png
apple_bad_050.png,apple,malo,bad,train,data\processed\balanced_raw\Bad Quality_Fruits\Apple_Bad\apple_bad_050.png,data\splits\train\malo\apple_bad_050.png
apple_bad_131.png,apple,malo,bad,train,data\processed\balanced_raw\Bad Quality_Fruits\Apple_Bad\apple_bad_131.png,data\splits\train\malo\apple_bad_131.png
apple_bad_149.png,apple,malo,bad,train,data\processed\balanced_raw\Bad Quality_Fruits\Apple_Bad\apple_bad_149.png,data\splits\train\malo\apple_bad_149.png
apple_bad_076.png,apple,malo,bad,train,data\processed\balanced_raw\Bad Quality_Fruits\Apple_Bad\apple_bad_076.png,data\splits\train\malo\apple_bad_076.png
apple_bad_048.png,apple,malo,bad,train,data\processed\balanced_raw\Bad Quality_Fruits\Apple_Bad\apple_bad_048.png,data\splits\train\malo\apple_bad_048.png
apple_bad_023.jpg,apple,malo,bad,train,data\processed\balanced_raw\Bad Quality_Fruits\Apple_Bad\apple_bad_023.jpg,data\splits\train\malo\apple_bad_023.jpg
apple_bad_086.png,apple,malo,bad,train,data\processed\balanced_raw\Bad Quality_Fruits\Apple_Bad\apple_bad_086.png,data\splits\train\malo\apple_bad_086.png
apple_bad_070.png,apple,malo,bad,train,data\processed\balanced_raw\Bad Quality_Fruits\Apple_Bad\apple_bad_070.png,data\splits\train\malo\apple_bad_070.png
apple_bad_109.png,apple,malo,bad,train,data\processed\balanced_raw\Bad Quality_Fruits\Apple_Bad\apple_bad_109.png,data\splits\train\malo\apple_bad_109.png
apple_bad_069.png,apple,malo,bad,train,data\processed\balanced_raw\Bad Quality_Fruits\Apple_Bad\apple_bad_069.png,data\splits\train\malo\apple_bad_069.png
apple_bad_113.png,apple,malo,bad,train,data\processed\balanced_raw\Bad Quality_Fruits\Apple_Bad\apple_bad_113.png,data\splits\train\malo\apple_bad_113.png
apple_bad_010.jpg,apple,malo,bad,train,data\processed\balanced_raw\Bad Quality_Fruits\Apple_Bad\apple_bad_010.jpg,data\splits\train\malo\apple_bad_010.jpg
apple_bad_052.png,apple,malo,bad,train,data\processed\balanced_raw\Bad Quality_Fruits\Apple_Bad\apple_bad_052.png,data\splits\train\malo\apple_bad_052.png
apple_bad_115.png,apple,malo,bad,train,data\processed\balanced_raw\Bad Quality_Fruits\Apple_Bad\apple_bad_115.png,data\splits\train\malo\apple_bad_115.png
apple_bad_014.jpg,apple,malo,bad,train,data\processed\balanced_raw\Bad Quality_Fruits\Apple_Bad\apple_bad_014.jpg,data\splits\train\malo\apple_bad_014.jpg
apple_bad_067.png,apple,malo,bad,train,data\processed\balanced_raw\Bad Quality_Fruits\Apple_Bad\apple_bad_067.png,data\splits\train\malo\apple_bad_067.png
apple_bad_026.jpg,apple,malo,bad,train,data\processed\balanced_raw\Bad Quality_Fruits\Apple_Bad\apple_bad_026.jpg,data\splits\train\malo\apple_bad_026.jpg
